phylum	class	order	family	species
Arthropoda	Insecta	Coleoptera	Cerambycidae	Pedostrangalia revestita
Arthropoda	Insecta	Coleoptera	Cerambycidae	Penichroa fasciata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Phoracantha recurva
Arthropoda	Insecta	Coleoptera	Cerambycidae	Phoracantha semipunctata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Phymatodes alni
Arthropoda	Insecta	Coleoptera	Cerambycidae	Phymatodes lividus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Phymatodes pusillus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Phymatodes rufipes
Arthropoda	Insecta	Coleoptera	Cerambycidae	Phymatodes testaceus
Arthropoda	Insecta	Coleoptera	Cerambycidae	Phytoecia affinis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Phytoecia algerica
Arthropoda	Insecta	Coleoptera	Cerambycidae	Phytoecia coerulescens
Arthropoda	Insecta	Coleoptera	Cerambycidae	Phytoecia cylindrica
Arthropoda	Insecta	Coleoptera	Cerambycidae	Phytoecia icterica
Arthropoda	Insecta	Coleoptera	Cerambycidae	Phytoecia nigricornis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Phytoecia nigripes
Arthropoda	Insecta	Coleoptera	Cerambycidae	Phytoecia pustulata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Phytoecia uncinata
Arthropoda	Insecta	Coleoptera	Cerambycidae	Phytoecia virgula
Arthropoda	Insecta	Coleoptera	Cerambycidae	Pidonia alticollis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Pidonia debilis
Arthropoda	Insecta	Coleoptera	Cerambycidae	Pidonia lurida
